#FORMAT=WebAnno TSV 3.2


#Text=Hướng dẫn cách làm lươn chiên giòn sốt tiêu xanh ngon, cực hấp dẫn Làm thế nào để có thể chế biến được món lươn chiên giòn sốt tiêu xanh thơm ngon đúng vị, để giúp các bạn thì hãy cùng chúng tôi tìm hiểu những thông tin ngay dưới đây nhé! + Thịt lươn: 300g + Bột chiên gà giòn + Nước dừa tươi: 1/2 chén + Hạt nêm + Tiêu xanh: 30g + Hành tỏi băm, sả băm + Giấm gạo lên men LISA + Dầu ăn, dầu hào, tương ớt, bột bắp, đường Lươn mua về rửa sạch sẽ với hỗn hợp nước ấm, giấm, rồi dùng dao tách bỏ xương lấy phần thịt lươn. Sau đó thái khúc ngắn. Hạt tiêu xanh rửa sạch, dùng dao đập dập. Sả cắt bỏ gốc rửa sạch, thái nhỏ. Hành khô, tỏi bóc bỏ vỏ, đập dập, băm nhỏ. Bước 1: Bước đầu tiên của cách làm lươn chiên giòn sốt tiêu xanh ngon, các bạn cho lươn thái khúc cho vào bát to cho thêm . Bước 2: Sau đó bạn cho thêm 1 thìa cà phê hạt tiêu xanh, 1/2 số hành, tỏi băm nhỏ rồi xóc thật đều và ướp chừng 15-20 phút để lươn ngấm gia vị. Bước 3: Sau khi lươn ướp đã ngấm gia vị, bạn chắt bỏ nước ướp rồi cho bột chiên gà giòn vào xóc đều cho bột phủ kín miếng thịt lươn là được. Bước 4: Bắc chảo sâu lòng lên bếp, cho dầu ăn vào đun nóng già rồi cho lươn vào chiên với lửa vừa đến khi lươn chín vàng đều thì vớt lươn ra bát lót giấy thấm dầu. Lưu ý: Khi chiên lươn, bạn nên chiên ngập dầu, để cách làm lươn chiên giòn sốt tiêu xanhvàng đều, thơm ngon, hấp dẫn hơn. Bước 5: Hướng dẫn pha chế hỗn hợp sốt lươn: + Bạn chuẩn bị 1/2 bát con nước dừa tươi rồi thêm vào đó 1 thìa hạt nêm, 1 thìa dầu hào, 1 thìa tương ớt, 1 thìa bột bắp, 1 thìa đường, rồi dùng đũa khuấy thật đều để hỗn hợp hòa tan hoàn toàn và quyện vào với nhau. + Sau đó, bạn cho dầu ăn vào chảo đun nóng rồi cho nốt số hành tỏi băm còn lại, sả băm nhỏ, hạt tiêu xanh vào phi thơm. Sau đó cho phần hỗn hợp sốt lươn vào đun sôi khoảng 5-10 phút cho hỗn hợp cạn dần sánh, sền sệt lại thì tắt bếp. Bước 6: Cuối cùng, bạn cho món lươn chiên giòn sốt tiêu xanh ra đĩa, rưới phần nước sốt lươn lên trên rồi thưởng thức. Chúc các bạn thành công!
1-103	445-448	với	
1-104	449-452	hỗn	
1-105	453-456	hợp	
1-106	457-461	nước	
1-107	462-465	ấm,	
1-108	466-471	giấm,	
1-109	472-475	rồi	
1-110	476-480	dùng	
1-111	481-484	dao	
1-112	485-489	tách	
1-113	490-492	bỏ	
1-114	493-498	xương	
1-115	499-502	lấy	
1-116	503-507	phần	
1-117	508-512	thịt	
1-118	513-518	lươn.	
1-119	519-522	Sau	
1-120	523-525	đó	
1-121	526-530	thái	
1-122	531-535	khúc	
1-123	536-541	ngắn.	
1-124	542-545	Hạt	
1-125	546-550	tiêu	
1-126	551-555	xanh	
1-127	556-559	rửa	
1-128	560-565	sạch,	
1-129	566-570	dùng	
1-130	571-574	dao	
1-131	575-578	đập	
1-132	579-583	dập.	
1-133	584-586	Sả	
1-134	587-590	cắt	
1-135	591-593	bỏ	
1-136	594-597	gốc	
1-137	598-601	rửa	
1-138	602-607	sạch,	
1-139	608-612	thái	
1-140	613-617	nhỏ.	
1-141	618-622	Hành	
1-142	623-627	khô,	
1-143	628-631	tỏi	
1-144	632-635	bóc	
1-145	636-638	bỏ	
1-146	639-642	vỏ,	
1-147	643-646	đập	
1-148	647-651	dập,	
1-149	652-655	băm	
1-150	656-660	nhỏ.	
1-151	661-665	Bước	
1-152	666-668	1:	
1-153	669-673	Bước	
1-154	674-677	đầu	
1-155	678-682	tiên	
1-156	683-686	của	
1-157	687-691	cách	
1-158	692-695	làm	
1-159	696-700	lươn	
1-160	701-706	chiên	
1-161	707-711	giòn	
1-162	712-715	sốt	
1-163	716-720	tiêu	
1-164	721-725	xanh	
1-165	726-731	ngon,	
1-166	732-735	các	
1-167	736-739	bạn	
1-168	740-743	cho	
1-169	744-748	lươn	
1-170	749-753	thái	
1-171	754-758	khúc	
1-172	759-762	cho	
1-173	763-766	vào	
1-174	767-770	bát	
1-175	771-773	to	
1-176	774-777	cho	
1-177	778-782	thêm	
1-178	783-784	.	
1-179	785-789	Bước	
1-180	790-792	2:	
1-181	793-796	Sau	
1-182	797-799	đó	
1-183	800-803	bạn	
1-184	804-807	cho	
1-185	808-812	thêm	
1-186	813-814	1	
1-187	815-819	thìa	
1-188	820-822	cà	
1-189	823-826	phê	
1-190	827-830	hạt	
1-191	831-835	tiêu	
1-192	836-841	xanh,	
1-193	842-845	1/2	
1-194	846-848	số	
1-195	849-854	hành,	
1-196	855-858	tỏi	
1-197	859-862	băm	
1-198	863-866	nhỏ	
1-199	867-870	rồi	
1-200	871-874	xóc	
1-201	875-879	thật	
1-202	880-883	đều	
1-203	884-886	và	
1-204	887-890	ướp	
1-205	891-896	chừng	
1-206	897-902	15-20	
1-207	903-907	phút	
1-208	908-910	để	
1-209	911-915	lươn	
1-210	916-920	ngấm	
1-211	921-924	gia	
1-212	925-928	vị.	
1-213	929-933	Bước	
1-214	934-936	3:	
1-215	937-940	Sau	
1-216	941-944	khi	
1-217	945-949	lươn	
1-218	950-953	ướp	
1-219	954-956	đã	
1-220	957-961	ngấm	
1-221	962-965	gia	
1-222	966-969	vị,	
1-223	970-973	bạn	
1-224	974-978	chắt	
1-225	979-981	bỏ	
1-226	982-986	nước	
1-227	987-990	ướp	
1-228	991-994	rồi	
1-229	995-998	cho	
1-230	999-1002	bột	
1-231	1003-1008	chiên	
1-232	1009-1011	gà	
1-233	1012-1016	giòn	
1-234	1017-1020	vào	
1-235	1021-1024	xóc	
1-236	1025-1028	đều	
1-237	1029-1032	cho	
1-238	1033-1036	bột	
1-239	1037-1040	phủ	
1-240	1041-1044	kín	
1-241	1045-1050	miếng	
1-242	1051-1055	thịt	
1-243	1056-1060	lươn	
1-244	1061-1063	là	
1-245	1064-1069	được.	
1-246	1070-1074	Bước	
1-247	1075-1077	4:	
1-248	1078-1081	Bắc	
1-249	1082-1086	chảo	
1-250	1087-1090	sâu	
1-251	1091-1095	lòng	
1-252	1096-1099	lên	
1-253	1100-1104	bếp,	
1-254	1105-1108	cho	
1-255	1109-1112	dầu	
1-256	1113-1115	ăn	
1-257	1116-1119	vào	
1-258	1120-1123	đun	
1-259	1124-1128	nóng	
1-260	1129-1132	già	
1-261	1133-1136	rồi	
1-262	1137-1140	cho	
1-263	1141-1145	lươn	
1-264	1146-1149	vào	
1-265	1150-1155	chiên	
1-266	1156-1159	với	
1-267	1160-1163	lửa	
1-268	1164-1167	vừa	
1-269	1168-1171	đến	
1-270	1172-1175	khi	
1-271	1176-1180	lươn	
1-272	1181-1185	chín	
1-273	1186-1190	vàng	
1-274	1191-1194	đều	
1-275	1195-1198	thì	
1-276	1199-1202	vớt	
1-277	1203-1207	lươn	
1-278	1208-1210	ra	
1-279	1211-1214	bát	
1-280	1215-1218	lót	
1-281	1219-1223	giấy	
1-282	1224-1228	thấm	
1-283	1229-1233	dầu.	
1-284	1234-1237	Lưu	
1-285	1238-1240	ý:	
1-286	1241-1244	Khi	
1-287	1245-1250	chiên	
1-288	1251-1256	lươn,	
1-289	1257-1260	bạn	
1-290	1261-1264	nên	
1-291	1265-1270	chiên	
1-292	1271-1275	ngập	
1-293	1276-1280	dầu,	
1-294	1281-1283	để	
1-295	1284-1288	cách	
1-296	1289-1292	làm	
1-297	1293-1297	lươn	
1-298	1298-1303	chiên	
1-299	1304-1308	giòn	
1-300	1309-1312	sốt	
1-301	1313-1317	tiêu	
1-302	1318-1326	xanhvàng	
1-303	1327-1331	đều,	
1-304	1332-1336	thơm	
1-305	1337-1342	ngon,	
1-306	1343-1346	hấp	
1-307	1347-1350	dẫn	
1-308	1351-1355	hơn.	
1-309	1356-1360	Bước	
1-310	1361-1363	5:	
1-311	1364-1369	Hướng	
1-312	1370-1373	dẫn	
1-313	1374-1377	pha	
1-314	1378-1381	chế	
1-315	1382-1385	hỗn	
1-316	1386-1389	hợp	
1-317	1390-1393	sốt	
1-318	1394-1399	lươn:	
1-319	1400-1401	+	
1-320	1402-1405	Bạn	
1-321	1406-1411	chuẩn	
1-322	1412-1414	bị	
1-323	1415-1418	1/2	
1-324	1419-1422	bát	
1-325	1423-1426	con	
1-326	1427-1431	nước	
1-327	1432-1435	dừa	
1-328	1436-1440	tươi	
1-329	1441-1444	rồi	
1-330	1445-1449	thêm	
1-331	1450-1453	vào	
1-332	1454-1456	đó	
1-333	1457-1458	1	
1-334	1459-1463	thìa	
1-335	1464-1467	hạt	
1-336	1468-1472	nêm,	
1-337	1473-1474	1	
1-338	1475-1479	thìa	
1-339	1480-1483	dầu	
1-340	1484-1488	hào,	
1-341	1489-1490	1	
1-342	1491-1495	thìa	
1-343	1496-1501	tương	
1-344	1502-1505	ớt,	
1-345	1506-1507	1	
1-346	1508-1512	thìa	
1-347	1513-1516	bột	
1-348	1517-1521	bắp,	
1-349	1522-1523	1	
1-350	1524-1528	thìa	
1-351	1529-1535	đường,	
1-352	1536-1539	rồi	
1-353	1540-1544	dùng	
1-354	1545-1548	đũa	
1-355	1549-1554	khuấy	
1-356	1555-1559	thật	
1-357	1560-1563	đều	
1-358	1564-1566	để	
1-359	1567-1570	hỗn	
1-360	1571-1574	hợp	
1-361	1575-1578	hòa	
1-362	1579-1582	tan	
1-363	1583-1587	hoàn	
1-364	1588-1592	toàn	
1-365	1593-1595	và	
1-366	1596-1601	quyện	
1-367	1602-1605	vào	
1-368	1606-1609	với	
1-369	1610-1615	nhau.	
1-370	1616-1617	+	
1-371	1618-1621	Sau	
1-372	1622-1625	đó,	
1-373	1626-1629	bạn	
1-374	1630-1633	cho	
1-375	1634-1637	dầu	
1-376	1638-1640	ăn	
1-377	1641-1644	vào	
1-378	1645-1649	chảo	
1-379	1650-1653	đun	
1-380	1654-1658	nóng	
1-381	1659-1662	rồi	
1-382	1663-1666	cho	
1-383	1667-1670	nốt	
1-384	1671-1673	số	
1-385	1674-1678	hành	
1-386	1679-1682	tỏi	
1-387	1683-1686	băm	
1-388	1687-1690	còn	
1-389	1691-1695	lại,	
1-390	1696-1698	sả	
1-391	1699-1702	băm	
1-392	1703-1707	nhỏ,	
1-393	1708-1711	hạt	
1-394	1712-1716	tiêu	
1-395	1717-1721	xanh	
1-396	1722-1725	vào	
1-397	1726-1729	phi	
1-398	1730-1735	thơm.	
1-399	1736-1739	Sau	
1-400	1740-1742	đó	
1-401	1743-1746	cho	
1-402	1747-1751	phần	
1-403	1752-1755	hỗn	
1-404	1756-1759	hợp	
1-405	1760-1763	sốt	
1-406	1764-1768	lươn	
1-407	1769-1772	vào	
1-408	1773-1776	đun	
1-409	1777-1780	sôi	
1-410	1781-1787	khoảng	
1-411	1788-1792	5-10	
1-412	1793-1797	phút	
1-413	1798-1801	cho	
1-414	1802-1805	hỗn	
1-415	1806-1809	hợp	
1-416	1810-1813	cạn	
1-417	1814-1817	dần	
1-418	1818-1823	sánh,	
1-419	1824-1827	sền	
1-420	1828-1831	sệt	
1-421	1832-1835	lại	
1-422	1836-1839	thì	
1-423	1840-1843	tắt	
1-424	1844-1848	bếp.	
1-425	1849-1853	Bước	
1-426	1854-1856	6:	
1-427	1857-1861	Cuối	
1-428	1862-1867	cùng,	
1-429	1868-1871	bạn	
1-430	1872-1875	cho	
1-431	1876-1879	món	
1-432	1880-1884	lươn	
1-433	1885-1890	chiên	
1-434	1891-1895	giòn	
1-435	1896-1899	sốt	
1-436	1900-1904	tiêu	
1-437	1905-1909	xanh	
1-438	1910-1912	ra	
1-439	1913-1917	đĩa,	
1-440	1918-1922	rưới	
1-441	1923-1927	phần	
1-442	1928-1932	nước	
1-443	1933-1936	sốt	
1-444	1937-1941	lươn	
1-445	1942-1945	lên	
1-446	1946-1950	trên	
1-447	1951-1954	rồi	
1-448	1955-1961	thưởng	
1-449	1962-1967	thức.	
1-450	1968-1972	Chúc	
1-451	1973-1976	các	
1-452	1977-1980	bạn	
1-453	1981-1986	thành	
1-454	1987-1992	công!	
