#FORMAT=WebAnno TSV 3.2


#Text=Có vay thì có trả, nhân quả báo ứng luôn hiện hữu, làm người đừng bao giờ sống lỗi Luật nhân quả là quy luật của vũ trụ, bất cứ sinh mệnh nào trong cõi đời đều sẽ phải chịu sự chi phối của quy luật này. Từ thời xa xưa, con người rất tin vào luật nhân quả, và truyền tụng nhiều tích cổ có thật về trả nghiệp báo ứng nhằm răn dạy con người sống có đạo hơn để tránh khổ sở về sau. Luật nhân quả luôn hiện hữu trong cuộc sống này, chỉ là nó sẽ đến muộn hay đến sớm mà thôi. Làm người chớ làm điều ác kẻo gặp quả báo nặng. Khi chúng ta nhìn thấy người đứng đầu của một nước, một tỉnh, một huyện hay vùng đất nào đó, liền có thể biết kiếp trước họ là người quy y Phật Pháp Tăng Tam bảo. Khi ta thấy người trường thọ, khỏe mạnh thì hiểu họ trước đó luôn tuân thủ lời răn dạy của giới luật. Đối với người có vẻ ngoài khoan thai ổn trọng, lời nói và hành động hợp với khuôn phép của người từng được độ pháp sẽ hiểu rõ họ là người có tấm lòng thanh tịnh, hướng tới điều tốt. Khi thấy người luôn sạch sẽ, không bệnh tật thì hiểu rõ đó là người đó kiếp trước có tấm lòng hướng thiện. Thấy nhân sĩ có vóc dáng cao lớn, chúng ta biết họ luôn kính cẩn lễ phép đối với thế nhân và thánh thần.
1-1	0-2	Có	
1-105	453-456	đến	
1-106	457-460	sớm	
1-107	461-463	mà	
1-108	464-469	thôi.	
1-109	470-473	Làm	
1-110	474-479	người	
1-111	480-483	chớ	
1-112	484-487	làm	
1-113	488-492	điều	
1-114	493-495	ác	
1-115	496-499	kẻo	
1-116	500-503	gặp	
1-117	504-507	quả	
1-118	508-511	báo	
1-119	512-517	nặng.	
1-120	518-521	Khi	
1-121	522-527	chúng	
1-122	528-530	ta	
1-123	531-535	nhìn	
1-124	536-540	thấy	
1-125	541-546	người	
1-126	547-551	đứng	
1-127	552-555	đầu	
1-128	556-559	của	
1-129	560-563	một	
1-130	564-569	nước,	
1-131	570-573	một	
1-132	574-579	tỉnh,	
1-133	580-583	một	
1-134	584-589	huyện	
1-135	590-593	hay	
1-136	594-598	vùng	
1-137	599-602	đất	
1-138	603-606	nào	
1-139	607-610	đó,	
1-140	611-615	liền	
1-141	616-618	có	
1-142	619-622	thể	
1-143	623-627	biết	
1-144	628-632	kiếp	
1-145	633-638	trước	
1-146	639-641	họ	
1-147	642-644	là	
1-148	645-650	người	
1-149	651-654	quy	
1-150	655-656	y	
1-151	657-661	Phật	
1-152	662-666	Pháp	
1-153	667-671	Tăng	
1-154	672-675	Tam	
1-155	676-680	bảo.	
1-156	681-684	Khi	
1-157	685-687	ta	
1-158	688-692	thấy	
1-159	693-698	người	
1-160	699-705	trường	
1-161	706-710	thọ,	
1-162	711-715	khỏe	
1-163	716-720	mạnh	
1-164	721-724	thì	
1-165	725-729	hiểu	
1-166	730-732	họ	
1-167	733-738	trước	
1-168	739-741	đó	
1-169	742-746	luôn	
1-170	747-751	tuân	
1-171	752-755	thủ	
1-172	756-759	lời	
1-173	760-763	răn	
1-174	764-767	dạy	
1-175	768-771	của	
1-176	772-776	giới	
1-177	777-782	luật.	
1-178	783-786	Đối	
1-179	787-790	với	
1-180	791-796	người	
1-181	797-799	có	
1-182	800-802	vẻ	
1-183	803-808	ngoài	
1-184	809-814	khoan	
1-185	815-819	thai	
1-186	820-822	ổn	
1-187	823-829	trọng,	
1-188	830-833	lời	
1-189	834-837	nói	
1-190	838-840	và	
1-191	841-845	hành	
1-192	846-850	động	
1-193	851-854	hợp	
1-194	855-858	với	
1-195	859-864	khuôn	
1-196	865-869	phép	
1-197	870-873	của	
1-198	874-879	người	
1-199	880-884	từng	
1-200	885-889	được	
1-201	890-892	độ	
1-202	893-897	pháp	
1-203	898-900	sẽ	
1-204	901-905	hiểu	
1-205	906-908	rõ	
1-206	909-911	họ	
1-207	912-914	là	
1-208	915-920	người	
1-209	921-923	có	
1-210	924-927	tấm	
1-211	928-932	lòng	
1-212	933-938	thanh	
1-213	939-944	tịnh,	
1-214	945-950	hướng	
1-215	951-954	tới	
1-216	955-959	điều	
1-217	960-964	tốt.	
1-218	965-968	Khi	
1-219	969-973	thấy	
1-220	974-979	người	
1-221	980-984	luôn	
1-222	985-989	sạch	
1-223	990-993	sẽ,	
1-224	994-999	không	
1-225	1000-1004	bệnh	
1-226	1005-1008	tật	
1-227	1009-1012	thì	
1-228	1013-1017	hiểu	
1-229	1018-1020	rõ	
1-230	1021-1023	đó	
1-231	1024-1026	là	
1-232	1027-1032	người	
1-233	1033-1035	đó	
1-234	1036-1040	kiếp	
1-235	1041-1046	trước	
1-236	1047-1049	có	
1-237	1050-1053	tấm	
1-238	1054-1058	lòng	
1-239	1059-1064	hướng	
1-240	1065-1071	thiện.	
1-241	1072-1076	Thấy	
1-242	1077-1081	nhân	
1-243	1082-1084	sĩ	
1-244	1085-1087	có	
1-245	1088-1091	vóc	
1-246	1092-1096	dáng	
1-247	1097-1100	cao	
1-248	1101-1105	lớn,	
1-249	1106-1111	chúng	
1-250	1112-1114	ta	
1-251	1115-1119	biết	
1-252	1120-1122	họ	
1-253	1123-1127	luôn	
1-254	1128-1132	kính	
1-255	1133-1136	cẩn	
1-256	1137-1139	lễ	
1-257	1140-1144	phép	
1-258	1145-1148	đối	
1-259	1149-1152	với	
1-260	1153-1156	thế	
1-261	1157-1161	nhân	
1-262	1162-1164	và	
1-263	1165-1170	thánh	
1-264	1171-1176	thần.	
