#FORMAT=WebAnno TSV 3.2


#Text=Mách chị em cách làm giò lụa dai ngon, không hàn the tại nhà Ngay tại nhà chị em cũng có thể tự làm giò lụa giòn dai, thơm ngon, không hàn the, vừa tiết kiệm lại an toàn vệ sinh thực phẩm. Cách làm giò lụa không hề khó - 600gr thịt heo xay - 1 thìa đường - 2 thìa nước mắm - 1 thìa cà phê tiêu trắng - 25gr bột bắp - 4 thìa nước đá lạnh - 10gr bột nở - 1 chút bột ngọt, bột nêm - 6 miếng lá chuối, dây buộc giò Nguyên liệu làm giò lụa - Bước 1: Thịt heo xay cho vào bát to, thêm tiêu trắng, bột nêm, nước mắm, bột ngọt, đường và trộn đều nguyên liệu. - Bước 2: Cho thịt heo xay vào túi nilon, dàn mỏng đều thành hình vuông sau đó đem cất ngăn đá khoảng 2 tiếng cho miếng thịt hơi cứng dẻo. Lá chuối lau sạch sẽ để cho khô ráo. - Bước 3: Sau 2 tiếng thì lấy thịt cho vào cối máy xay thịt, vừa xay vừa ngưng để máy không bị nóng thì giò mới không bị bở, thêm từng thìa nước đá vào xay cùng rồi cho bột nở, bột bắp, xay tiếp tới khi thấy hỗn hợp giò sống chuyển màu hồng nhạt, giò mịn có độ kết dính tốt là giò đã đạt. - Bước 4: Trải miếng màng bọc thực phẩm lên bàn sau đó đặt 3 miếng lá chuối lên trên, đặt tiếp 3 miếng là chuối còn lại lên và vét giò sống cho vào lá chuối, định hình cho thành 1 đòn giò để khi gói sẽ dễ hơn. - Bước 5: Nắm 2 mép lá chuối và màng bọc thực phẩm vào nhau rồi gói như bánh tét, gập 1 đầu giò lại và dựng cây giò lên, cắt bớt phần đầu lá chuối dư thừa rồi gập lại, phần đầu giò còn lại cũng làm tương tự. - Bước 6: Luồn dây buộc theo chiều dọc của cây giò, buộc thêm 1 dây song song với dây thứ nhất, tiếp theo bạn buộc thêm 3 dây theo chiều ngang của cây giò là xong rồi đấy, nắn lại cho cây giò được tròn đều. - Bước 7: Đặt xửng hấp lên bếp đun cho nước sôi thì cho cây giò vào luộc khoảng 40 phút là giò chín, lấy giò ra để cho ráo nước, giò nguội mới cắt miếng bày ra đĩa để thưởng thức. Chúc các bạn thực hiện thành công món giò lụa
1-1	0-4	Mách	
1-196	831-834	giò	
1-197	835-838	mới	
1-198	839-844	không	
1-199	845-847	bị	
1-200	848-851	bở,	
1-201	852-856	thêm	
1-202	857-861	từng	
1-203	862-866	thìa	
1-204	867-871	nước	
1-205	872-874	đá	
1-206	875-878	vào	
1-207	879-882	xay	
1-208	883-887	cùng	
1-209	888-891	rồi	
1-210	892-895	cho	
1-211	896-899	bột	
1-212	900-903	nở,	
1-213	904-907	bột	
1-214	908-912	bắp,	
1-215	913-916	xay	
1-216	917-921	tiếp	
1-217	922-925	tới	
1-218	926-929	khi	
1-219	930-934	thấy	
1-220	935-938	hỗn	
1-221	939-942	hợp	
1-222	943-946	giò	
1-223	947-951	sống	
1-224	952-958	chuyển	
1-225	959-962	màu	
1-226	963-967	hồng	
1-227	968-973	nhạt,	
1-228	974-977	giò	
1-229	978-981	mịn	
1-230	982-984	có	
1-231	985-987	độ	
1-232	988-991	kết	
1-233	992-996	dính	
1-234	997-1000	tốt	
1-235	1001-1003	là	
1-236	1004-1007	giò	
1-237	1008-1010	đã	
1-238	1011-1015	đạt.	
1-239	1016-1017	-	
1-240	1018-1022	Bước	
1-241	1023-1025	4:	
1-242	1026-1030	Trải	
1-243	1031-1036	miếng	
1-244	1037-1041	màng	
1-245	1042-1045	bọc	
1-246	1046-1050	thực	
1-247	1051-1055	phẩm	
1-248	1056-1059	lên	
1-249	1060-1063	bàn	
1-250	1064-1067	sau	
1-251	1068-1070	đó	
1-252	1071-1074	đặt	
1-253	1075-1076	3	
1-254	1077-1082	miếng	
1-255	1083-1085	lá	
1-256	1086-1091	chuối	
1-257	1092-1095	lên	
1-258	1096-1101	trên,	
1-259	1102-1105	đặt	
1-260	1106-1110	tiếp	
1-261	1111-1112	3	
1-262	1113-1118	miếng	
1-263	1119-1121	là	
1-264	1122-1127	chuối	
1-265	1128-1131	còn	
1-266	1132-1135	lại	
1-267	1136-1139	lên	
1-268	1140-1142	và	
1-269	1143-1146	vét	
1-270	1147-1150	giò	
1-271	1151-1155	sống	
1-272	1156-1159	cho	
1-273	1160-1163	vào	
1-274	1164-1166	lá	
1-275	1167-1173	chuối,	
1-276	1174-1178	định	
1-277	1179-1183	hình	
1-278	1184-1187	cho	
1-279	1188-1193	thành	
1-280	1194-1195	1	
1-281	1196-1199	đòn	
1-282	1200-1203	giò	
1-283	1204-1206	để	
1-284	1207-1210	khi	
1-285	1211-1214	gói	
1-286	1215-1217	sẽ	
1-287	1218-1220	dễ	
1-288	1221-1225	hơn.	
1-289	1226-1227	-	
1-290	1228-1232	Bước	
1-291	1233-1235	5:	
1-292	1236-1239	Nắm	
1-293	1240-1241	2	
1-294	1242-1245	mép	
1-295	1246-1248	lá	
1-296	1249-1254	chuối	
1-297	1255-1257	và	
1-298	1258-1262	màng	
1-299	1263-1266	bọc	
1-300	1267-1271	thực	
1-301	1272-1276	phẩm	
1-302	1277-1280	vào	
1-303	1281-1285	nhau	
1-304	1286-1289	rồi	
1-305	1290-1293	gói	
1-306	1294-1297	như	
1-307	1298-1302	bánh	
1-308	1303-1307	tét,	
1-309	1308-1311	gập	
1-310	1312-1313	1	
1-311	1314-1317	đầu	
1-312	1318-1321	giò	
1-313	1322-1325	lại	
1-314	1326-1328	và	
1-315	1329-1333	dựng	
1-316	1334-1337	cây	
1-317	1338-1341	giò	
1-318	1342-1346	lên,	
1-319	1347-1350	cắt	
1-320	1351-1354	bớt	
1-321	1355-1359	phần	
1-322	1360-1363	đầu	
1-323	1364-1366	lá	
1-324	1367-1372	chuối	
1-325	1373-1375	dư	
1-326	1376-1380	thừa	
1-327	1381-1384	rồi	
1-328	1385-1388	gập	
1-329	1389-1393	lại,	
1-330	1394-1398	phần	
1-331	1399-1402	đầu	
1-332	1403-1406	giò	
1-333	1407-1410	còn	
1-334	1411-1414	lại	
1-335	1415-1419	cũng	
1-336	1420-1423	làm	
1-337	1424-1429	tương	
1-338	1430-1433	tự.	
1-339	1434-1435	-	
1-340	1436-1440	Bước	
1-341	1441-1443	6:	
1-342	1444-1448	Luồn	
1-343	1449-1452	dây	
1-344	1453-1457	buộc	
1-345	1458-1462	theo	
1-346	1463-1468	chiều	
1-347	1469-1472	dọc	
1-348	1473-1476	của	
1-349	1477-1480	cây	
1-350	1481-1485	giò,	
1-351	1486-1490	buộc	
1-352	1491-1495	thêm	
1-353	1496-1497	1	
1-354	1498-1501	dây	
1-355	1502-1506	song	
1-356	1507-1511	song	
1-357	1512-1515	với	
1-358	1516-1519	dây	
1-359	1520-1523	thứ	
1-360	1524-1529	nhất,	
1-361	1530-1534	tiếp	
1-362	1535-1539	theo	
1-363	1540-1543	bạn	
1-364	1544-1548	buộc	
1-365	1549-1553	thêm	
1-366	1554-1555	3	
1-367	1556-1559	dây	
1-368	1560-1564	theo	
1-369	1565-1570	chiều	
1-370	1571-1576	ngang	
1-371	1577-1580	của	
1-372	1581-1584	cây	
1-373	1585-1588	giò	
1-374	1589-1591	là	
1-375	1592-1596	xong	
1-376	1597-1600	rồi	
1-377	1601-1605	đấy,	
1-378	1606-1609	nắn	
1-379	1610-1613	lại	
1-380	1614-1617	cho	
1-381	1618-1621	cây	
1-382	1622-1625	giò	
1-383	1626-1630	được	
1-384	1631-1635	tròn	
1-385	1636-1640	đều.	
1-386	1641-1642	-	
1-387	1643-1647	Bước	
1-388	1648-1650	7:	
1-389	1651-1654	Đặt	
1-390	1655-1659	xửng	
1-391	1660-1663	hấp	
1-392	1664-1667	lên	
1-393	1668-1671	bếp	
1-394	1672-1675	đun	
1-395	1676-1679	cho	
1-396	1680-1684	nước	
1-397	1685-1688	sôi	
1-398	1689-1692	thì	
1-399	1693-1696	cho	
1-400	1697-1700	cây	
1-401	1701-1704	giò	
1-402	1705-1708	vào	
1-403	1709-1713	luộc	
1-404	1714-1720	khoảng	
1-405	1721-1723	40	
1-406	1724-1728	phút	
1-407	1729-1731	là	
1-408	1732-1735	giò	
1-409	1736-1741	chín,	
1-410	1742-1745	lấy	
1-411	1746-1749	giò	
1-412	1750-1752	ra	
1-413	1753-1755	để	
1-414	1756-1759	cho	
1-415	1760-1763	ráo	
1-416	1764-1769	nước,	
1-417	1770-1773	giò	
1-418	1774-1779	nguội	
1-419	1780-1783	mới	
1-420	1784-1787	cắt	
1-421	1788-1793	miếng	
1-422	1794-1797	bày	
1-423	1798-1800	ra	
1-424	1801-1804	đĩa	
1-425	1805-1807	để	
1-426	1808-1814	thưởng	
1-427	1815-1820	thức.	
1-428	1821-1825	Chúc	
1-429	1826-1829	các	
1-430	1830-1833	bạn	
1-431	1834-1838	thực	
1-432	1839-1843	hiện	
1-433	1844-1849	thành	
1-434	1850-1854	công	
1-435	1855-1858	món	
1-436	1859-1862	giò	
1-437	1863-1866	lụa	
